date,temperature,humidity,luminosity
2022-11-17 15:47:25.797,25.4,35.2,133
2022-11-17 15:47:20.753,25.4,35.3,132
2022-11-17 15:47:15.710,25.4,35.4,132
2022-11-17 15:47:10.666,25.4,35.5,132
2022-11-17 15:47:05.623,25.4,35.5,132
2022-11-17 15:47:00.579,25.3,35.6,131
2022-11-17 15:46:55.536,25.3,35.6,128
2022-11-17 15:46:50.492,25.4,35.4,130
2022-11-17 15:46:45.448,25.3,35.4,130
2022-11-17 15:46:40.404,25.3,35.5,128
2022-11-17 15:46:35.361,25.3,35.6,130
2022-11-17 15:46:30.318,25.3,35.0,130
2022-11-17 15:46:25.274,25.3,35.1,129
2022-11-17 15:46:20.231,25.3,35.2,129
2022-11-17 15:46:15.187,25.3,35.5,131
2022-11-17 15:46:10.144,25.3,35.8,131
2022-11-17 15:46:05.100,25.3,36.1,131
2022-11-17 15:46:00.057,25.3,36.4,131
2022-11-17 15:45:55.013,25.3,36.0,130
2022-11-17 15:45:49.969,25.3,35.5,125
2022-11-17 15:45:44.926,25.3,35.7,126
2022-11-17 15:45:39.883,25.3,35.4,130
2022-11-17 15:45:34.840,25.3,35.7,127
2022-11-17 15:45:29.797,25.3,35.6,126
2022-11-17 15:45:24.753,25.3,34.7,125
2022-11-17 15:45:19.710,25.3,34.7,128
2022-11-17 15:45:14.666,25.3,34.6,130
2022-11-17 15:45:09.623,25.3,34.5,130
2022-11-17 15:45:04.579,25.3,34.5,129
2022-11-17 15:44:59.535,25.3,34.6,130
2022-11-17 15:44:54.491,25.2,34.5,129
2022-11-17 15:44:49.448,25.3,34.6,130
2022-11-17 15:44:44.405,25.3,34.7,131
2022-11-17 15:44:39.362,25.3,34.7,129
2022-11-17 15:44:34.320,25.2,34.8,130
2022-11-17 15:44:29.277,25.3,34.7,130
2022-11-17 15:44:24.233,25.3,34.6,130
2022-11-17 15:44:19.191,25.3,34.6,130
2022-11-17 15:44:14.148,25.2,34.7,121
2022-11-17 15:44:09.105,25.3,34.5,123
2022-11-17 15:44:04.062,25.2,34.6,133
2022-11-17 15:43:59.018,25.3,34.5,133
2022-11-17 15:43:53.975,25.2,34.6,131
2022-11-17 15:43:48.930,25.2,34.6,131
2022-11-17 15:43:43.888,25.2,34.6,133
2022-11-17 15:43:38.844,25.2,34.5,131
2022-11-17 15:43:33.800,25.3,34.5,132
2022-11-17 15:43:28.756,25.3,34.6,132
2022-11-17 15:43:23.712,25.3,34.5,132
2022-11-17 15:43:18.668,25.3,34.4,132
2022-11-17 15:43:13.624,25.3,34.7,131
2022-11-17 15:43:08.580,25.3,34.8,130
2022-11-17 15:43:03.536,25.3,34.9,129
2022-11-17 15:42:58.494,25.3,34.7,130
2022-11-17 15:42:53.451,25.3,34.7,131
2022-11-17 15:42:48.407,25.3,34.7,128
2022-11-17 15:42:43.363,25.3,34.7,133
2022-11-17 15:42:38.320,25.3,34.7,132
2022-11-17 15:42:33.276,25.3,34.6,133
2022-11-17 15:42:28.233,25.3,34.7,129
2022-11-17 15:42:23.189,25.3,34.5,131
2022-11-17 15:42:18.146,25.3,34.4,133
2022-11-17 15:42:13.103,25.3,34.5,132
2022-11-17 15:42:08.060,25.3,34.6,115
2022-11-17 15:42:03.016,25.3,34.7,132
2022-11-17 15:41:57.973,25.3,34.6,132
2022-11-17 15:41:52.930,25.3,34.7,133
2022-11-17 15:41:47.887,25.3,34.7,132
2022-11-17 15:41:42.844,25.3,34.7,132
2022-11-17 15:41:37.801,25.3,34.9,133
2022-11-17 15:41:32.758,25.3,35.1,133
2022-11-17 15:41:27.716,25.3,35.2,133
2022-11-17 15:41:22.672,25.3,35.3,133
2022-11-17 15:41:17.629,25.2,35.3,131
2022-11-17 15:41:12.586,25.2,35.6,131
2022-11-17 15:41:07.544,25.2,35.7,131
2022-11-17 15:41:02.499,25.2,35.6,127
2022-11-17 15:40:57.455,25.2,34.9,127
2022-11-17 15:40:52.411,25.2,34.6,127
2022-11-17 15:40:47.368,25.2,34.6,132
2022-11-17 15:40:42.324,25.3,34.8,132
2022-11-17 15:40:37.281,25.3,34.9,133
2022-11-17 15:40:32.238,25.2,34.8,132
2022-11-17 15:40:27.195,25.3,34.8,131
2022-11-17 15:40:22.152,25.3,34.8,132
2022-11-17 15:40:17.108,25.3,34.9,131
2022-11-17 15:40:12.064,25.3,34.8,132
2022-11-17 15:40:07.021,25.3,34.9,129
2022-11-17 15:40:01.977,25.2,35.0,131
2022-11-17 15:39:56.934,25.3,34.9,133
2022-11-17 15:39:51.891,25.3,34.8,131
2022-11-17 15:39:46.848,25.3,34.9,131
2022-11-17 15:39:41.805,25.3,34.9,130
2022-11-17 15:39:36.761,25.3,35.0,133
2022-11-17 15:39:31.718,25.3,35.2,134
2022-11-17 15:39:26.675,25.3,35.3,133
2022-11-17 15:39:21.632,25.2,35.4,132
2022-11-17 15:39:16.589,25.3,35.5,130
2022-11-17 15:39:11.546,25.2,35.5,128
2022-11-17 15:39:06.503,25.3,35.7,132
2022-11-17 15:39:01.459,25.3,35.9,130
2022-11-17 15:38:56.416,25.2,36.0,127
